date,entry_time,exit_time,ticker,action,close_action,direction,entry_price,exit_price,shares,position_value,profit_loss_pct,profit_loss_dollars,exit_reason,hold_duration_seconds,indicator_name,entry_spread_pct,atr_at_entry,momentum_at_entry
2024-11-12,2024-11-12T10:02:00,2024-11-12T11:00:00,COIN,buy_to_open,sell_to_close,long,326.6680,313.0292,6.1224,2000.00,-4.1751,-83.50,ATR stop loss: -4.28% (threshold: -4.00%),3480.0,Momentum Trading,0.1642,0.0000,0.0000
2024-11-12,2024-11-12T14:01:00,2024-11-12T15:00:00,COIN,buy_to_open,sell_to_close,long,318.3070,315.9200,6.2832,2000.00,-0.7499,-15.00,force_close_eod,3540.0,Momentum Trading,0.0515,0.0000,0.0000
2024-11-13,2024-11-13T11:17:00,2024-11-13T12:18:00,RIVN,buy_to_open,sell_to_close,long,12.6970,12.3670,157.5175,2000.00,-2.5990,-51.98,max_hold_60min,3660.0,Momentum Trading,0.2681,0.0000,0.0000
2024-11-25,2024-11-25T10:36:00,2024-11-25T11:05:00,RIVN,buy_to_open,sell_to_close,long,11.5625,11.7165,172.9730,2000.00,1.3319,26.64,Trailing stop triggered at $11.7578 (locking in 1.29% profit),1740.0,Momentum Trading,0.3899,0.0000,0.0000
2024-11-26,2024-11-26T09:56:00,2024-11-26T10:05:00,COIN,buy_to_open,sell_to_close,long,303.6440,307.1400,6.5867,2000.00,1.1513,23.03,Trailing stop triggered at $307.4574 (locking in 1.07% profit),540.0,Momentum Trading,0.1872,0.0000,0.0000
2024-11-27,2024-11-27T10:15:00,2024-11-27T11:16:00,RIVN,buy_to_open,sell_to_close,long,12.2935,12.1706,162.6876,2000.00,-0.9997,-19.99,max_hold_60min,3660.0,Momentum Trading,0.1384,0.0000,0.0000
2024-12-03,2024-12-03T10:01:00,2024-12-03T11:02:00,PLTR,buy_to_open,sell_to_close,long,70.0440,68.9561,28.5535,2000.00,-1.5531,-31.06,max_hold_60min,3660.0,Momentum Trading,0.1829,0.0000,0.0000
2024-12-03,2024-12-03T10:27:00,2024-12-03T11:28:00,SNAP,buy_to_open,sell_to_close,long,12.5100,13.0216,159.8721,2000.00,4.0895,81.79,max_hold_60min,3660.0,Momentum Trading,0.0800,0.0000,0.0000
2024-12-04,2024-12-04T10:09:00,2024-12-04T11:10:00,COIN,buy_to_open,sell_to_close,long,321.1842,314.4740,6.2270,2000.00,-2.0892,-41.78,max_hold_60min,3660.0,Momentum Trading,0.0704,0.0000,0.0000
2024-12-04,2024-12-04T10:40:00,2024-12-04T11:41:00,SOFI,buy_to_open,sell_to_close,long,16.3455,16.1570,122.3578,2000.00,-1.1532,-23.06,max_hold_60min,3660.0,Momentum Trading,0.0673,0.0000,0.0000
2024-12-05,2024-12-05T10:02:00,2024-12-05T10:24:00,RIVN,buy_to_open,sell_to_close,long,12.6220,12.7040,158.4535,2000.00,0.6497,12.99,Trailing stop triggered at $12.7247 (locking in 0.62% profit),1320.0,Momentum Trading,0.1903,0.0000,0.0000
2024-12-06,2024-12-06T10:07:00,2024-12-06T10:21:00,SNAP,buy_to_open,sell_to_close,long,12.5290,12.7460,159.6297,2000.00,1.7320,34.64,Trailing stop triggered at $12.8664 (locking in 2.63% profit),840.0,Momentum Trading,0.0639,0.0000,0.0000
2024-12-06,2024-12-06T10:32:00,2024-12-06T11:10:00,SOFI,buy_to_open,sell_to_close,long,15.6585,15.7910,127.7262,2000.00,0.8462,16.92,Trailing stop triggered at $15.8217 (locking in 0.93% profit),2280.0,Momentum Trading,0.1086,0.0000,0.0000
2024-12-06,2024-12-06T11:16:00,2024-12-06T12:17:00,RIVN,buy_to_open,sell_to_close,long,13.4600,12.9966,148.5884,2000.00,-3.4429,-68.86,max_hold_60min,3660.0,Momentum Trading,0.0743,0.0000,0.0000
2024-12-10,2024-12-10T09:46:00,2024-12-10T10:47:00,SOFI,buy_to_open,sell_to_close,long,15.9530,15.6745,125.3683,2000.00,-1.7458,-34.92,max_hold_60min,3660.0,Momentum Trading,0.1631,0.0000,0.0000
2024-12-12,2024-12-12T10:28:00,2024-12-12T11:29:00,RIVN,buy_to_open,sell_to_close,long,14.1500,14.0616,141.3428,2000.00,-0.6247,-12.49,max_hold_60min,3660.0,Momentum Trading,0.1414,0.0000,0.0000
2024-12-16,2024-12-16T11:05:00,2024-12-16T12:06:00,RIVN,buy_to_open,sell_to_close,long,15.3190,14.9430,130.5569,2000.00,-2.4544,-49.09,max_hold_60min,3660.0,Momentum Trading,0.1174,0.0000,0.0000
2024-12-18,2024-12-18T12:18:00,2024-12-18T13:19:00,SNAP,buy_to_open,sell_to_close,long,11.1985,11.8101,178.5953,2000.00,5.4616,109.23,max_hold_60min,3660.0,Momentum Trading,0.0625,0.0000,0.0000
2024-12-18,2024-12-18T13:35:00,2024-12-18T14:36:00,SNAP,buy_to_open,sell_to_close,long,11.9196,11.6595,167.7909,2000.00,-2.1821,-43.64,max_hold_60min,3660.0,Momentum Trading,0.1511,0.0000,0.0000
2024-12-20,2024-12-20T10:10:00,2024-12-20T10:47:00,RIVN,buy_to_open,sell_to_close,long,13.1910,13.8032,151.6185,2000.00,4.6407,92.81,Trend reversal detected: dropped 0.83% from peak $13.9250 (locking in 4.60% profit),2220.0,Momentum Trading,0.0910,0.0000,0.0000
